City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,olonkinbyen,70.9221,-8.7187,-1.08,83,99,6.79,SJ,1738680585
83,candeleda,40.1552,-5.2405,11.58,55,3,1.27,ES,1738680586
84,polyarnyy,69.1989,33.4478,-20.4,99,70,5.15,RU,1738680587
85,dalnerechensk,45.9339,133.7225,-16.54,92,100,6.01,RU,1738680588
86,klyuchi,52.2667,79.1667,-3.39,97,100,2.74,RU,1738680589
87,abu dhabi,24.4667,54.3667,21.01,46,0,5.14,AE,1738680590
88,bonthe,7.5264,-12.505,30.84,49,35,6.53,SL,1738680592
89,holualoa,19.6228,-155.9522,18.64,77,20,3.6,US,1738680593
90,selfoss,63.9331,-20.9971,-0.53,67,58,12.52,IS,1738680594
91,trashi yangtse,27.6116,91.498,8.41,95,33,1.3,BT,1738680595
92,palapag,12.5458,125.1147,23.67,88,100,1.95,PH,1738680596
93,waitangi,-43.9535,-176.5597,10.46,92,63,1.79,NZ,1738680600
94,puerto natales,-51.7236,-72.4875,11.25,50,75,7.72,CL,1738680601
95,mejit,10.2753,170.8646,26.68,80,42,10.39,MH,1738680602
96,lazaro cardenas,17.9583,-102.2,25.21,74,8,2.13,MX,1738680603
97,wanning,18.8003,110.3967,16.05,83,90,3.6,CN,1738680604
98,tura,25.5198,90.2201,17.08,57,32,1.67,IN,1738680605
99,vilyuysk,63.7553,121.6247,-28.75,93,100,5.33,RU,1738680606
100,georgetown,5.4112,100.3354,28.86,83,20,2.68,MY,1738680608
101,isafjordur,66.0755,-23.124,0.02,47,75,8.23,IS,1738680609
102,igarka,67.4667,86.5833,-19.46,86,99,5.78,RU,1738680610
103,west island,-12.1568,96.8225,27.99,94,20,4.12,CC,1738680611
104,kidal,18.4411,1.4078,29.64,7,100,4.55,ML,1738680612
105,island harbour,50.724,-1.2758,10.04,86,75,3.58,GB,1738680613
106,anadyr,64.75,177.4833,-23.72,76,100,8.0,RU,1738680614
107,matadi,-5.8167,13.45,25.8,90,100,0.76,CD,1738680615
108,nar'yan-mar,67.6713,53.087,-10.69,91,100,5.54,RU,1738680617
109,tateyama,34.9833,139.8667,5.3,58,21,12.01,JP,1738680618
110,pandan,14.0453,124.1694,24.06,89,59,2.41,PH,1738680619
111,udachny,66.4167,112.4,-39.9,98,62,3.11,RU,1738680620
112,nadvoitsy,63.8667,34.3167,-19.0,100,100,1.36,RU,1738680621
113,taulaga,-11.0553,-171.0883,28.21,68,7,5.02,AS,1738680622
114,whakatane,-37.9585,176.9854,18.06,99,100,0.89,NZ,1738680623
115,caleta olivia,-46.4393,-67.5281,15.86,34,3,3.4,AR,1738680624
116,aasiaat,68.7098,-52.8699,-22.24,96,100,4.27,GL,1738680625
117,kapa'a,22.0752,-159.319,19.18,88,0,2.57,US,1738680627
118,arti,56.4234,58.5328,-7.91,96,100,2.58,RU,1738680628
119,papar,5.7333,115.9333,26.0,91,100,1.55,MY,1738680629
120,helena valley west central,46.6629,-112.0604,-20.51,81,100,3.09,US,1738680630
121,bredasdorp,-34.5322,20.0403,26.13,42,0,5.83,ZA,1738680631
122,chonchi,-42.6128,-73.8092,18.49,52,16,1.83,CL,1738680632
123,wailua homesteads,22.0669,-159.378,18.44,88,0,2.57,US,1738680633
124,katsuren-haebaru,26.3369,127.8719,12.21,50,75,7.2,JP,1738680634
125,punta arenas,-53.15,-70.9167,11.06,58,75,10.8,CL,1738680636
126,leava,-14.3,-178.1667,28.11,72,98,2.2,WF,1738680637
127,focuri,47.35,27.2167,0.47,59,97,4.16,RO,1738680638
128,jamestown,42.097,-79.2353,-2.21,85,100,4.63,US,1738680639
129,burutu,5.3509,5.5076,32.99,51,34,6.82,NG,1738680640
130,sao gabriel da cachoeira,-0.1303,-67.0892,28.89,74,0,1.03,BR,1738680641
131,dakhla,23.6848,-15.958,21.01,64,0,9.26,EH,1738680642
132,valparaiso,-33.0393,-71.6273,21.93,49,20,4.12,CL,1738680643
133,winnemucca,40.973,-117.7357,9.03,31,100,8.23,US,1738680567
134,amarante do maranhao,-5.5667,-46.7422,29.03,65,62,2.84,BR,1738680646
135,lyubymivka,46.8106,33.5686,1.66,62,100,4.71,UA,1738680647
136,vila franca do campo,37.7167,-25.4333,15.23,91,100,3.01,PT,1738680648
137,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,79,75,1.0,RU,1738680649
138,puerto ayora,-0.7393,-90.3518,25.86,94,20,1.79,EC,1738680650
139,manismata,-2.4667,111.0333,24.28,93,59,1.53,ID,1738680651
140,alaghsas,17.0187,8.0168,33.94,6,0,6.17,NE,1738680652
141,tofol,5.3248,163.0078,27.87,80,100,9.99,FM,1738680653
142,namibe,-15.1961,12.1522,25.86,74,74,5.22,AO,1738680655
143,jhinjhana,29.5167,77.2167,14.83,68,18,3.24,IN,1738680656
144,kone,-21.0595,164.8658,24.54,95,99,1.98,NC,1738680657
145,progreso,21.2833,-89.6667,25.0,69,89,4.27,MX,1738680658
146,silute,55.3489,21.4831,2.55,88,100,2.34,LT,1738680462
